Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.086306861764843,9.70515747599626E-06,0.039109778900725,0,0,0,0.405852979277494,0.000275848359219685,1.01042451677911E-11,-7.4936131547004E-08,0.000437308620333477,-9.22827074612079E-08,0.000492690805445302,0,0,0,0,0,0,package://asclepius/meshes/base_link.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://asclepius/meshes/base_link.STL,,Base-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,0.011846,-0.014295,0.039343,0,0,0,0.21222,0.0002512,-8.024E-09,-1.848E-05,0.00014425,7.243E-09,0.00024638,0,0,0,0,0,0,package://asclepius/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asclepius/meshes/link1.STL,,Link1-1,Origin_joint1,Axis_joint1,joint1,continuous,0,0,0.031263,0,0,0,base_link,0,0,1,,,,,,,,,,,,
link2,-1.3566E-05,0.0861,-0.0053137,0,0,0,0.34725,0.0011171,-3.2957E-07,-5.3911E-09,0.00023759,2.3932E-05,0.00096713,0,0,0,0,0,0,package://asclepius/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://asclepius/meshes/link2.STL,,Link2-1,Origin_joint2,Axis_joint2,joint2,continuous,0.0445,0,0.0625,1.5708,0,0,link1,0,0,1,,,,,,,,,,,,
link3,0.117717019514311,-0.00309405693118706,0.00101010086707825,0,0,0,0.468865020431029,0.000139996023442463,-4.70526024072992E-06,1.56800215706482E-06,0.00175303988142068,-1.39307808720171E-07,0.00165738035209707,0,0,0,0,0,0,package://asclepius/meshes/link3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://asclepius/meshes/link3.STL,,Link4-1,Origin_joint3,Axis_joint3,joint3,continuous,0,0.187,0,0,0,0,link2,0,0,1,,,,,,,,,,,,
link4,6.6824E-09,-1.1152E-08,0.0032766,0,0,0,0.00033225,3.0044E-09,7.1937E-14,-5.8181E-16,3.3864E-09,2.6589E-14,3.0656E-09,0,0,0,0,0,0,package://asclepius/meshes/link4.STL,0.25098,0.25098,0.25098,1,0,0,0,0,0,0,package://asclepius/meshes/link4.STL,,Link5-1,Origin_joint4,Axis_joint4,joint4,continuous,0.54045,0.01725,0.0009,-1.5708,0,-1.5708,link3,0,0,1,,,,,,,,,,,,
link5,0.0037149,-5.0761E-05,-1.9893E-07,0,0,0,0.00024719,1.4508E-09,-4.6798E-13,5.6106E-14,2.1797E-09,-6.8209E-14,2.5126E-09,0,0,0,0,0,0,package://asclepius/meshes/link5.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://asclepius/meshes/link5.STL,,Link6-1,Origin_joint5,Axis_joint5,joint5,continuous,0,0,0.0091,3.1416,-1.5708,0,link4,0,0,-1,,,,,,,,,,,,
link6,0.0080523,0.00059191,0.00045913,0,0,0,9.8123E-05,3.1452E-10,-1.9346E-10,3.0002E-10,4.924E-09,1.7634E-11,4.7615E-09,0,0,0,0,0,0,package://asclepius/meshes/link6.STL,0.59216,0.50196,0.50196,1,0,0,0,0,0,0,package://asclepius/meshes/link6.STL,,Link7-1,Origin_joint6,Axis_joint6,joint6,continuous,0.0089,0,0,1.5708,0,0,link5,0,0,1,,,,,,,,,,,,
link7,0.0080606,-0.00059444,-0.00036241,0,0,0,9.72E-05,3.1256E-10,1.9347E-10,-3.0023E-10,4.9052E-09,1.7723E-11,4.7445E-09,0,0,0,0,0,0,package://asclepius/meshes/link7.STL,0.59216,0.50196,0.50196,1,0,0,0,0,0,0,package://asclepius/meshes/link7.STL,,Link8-1,Origin_joint7,Axis_joint7,joint7,continuous,0.0089,0,0,1.5708,0,0,link5,0,0,-1,,,,,,,,,,,,
