Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.019877,0.012957,0.006213,0,0,0,0.043005,3.5652E-06,-3.2723E-08,9.8437E-12,9.9719E-06,6.3535E-13,8.7138E-06,0,0,0,0,0,0,package://acps/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://acps/meshes/base_link.STL,,ACPS-Motor-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-4.8637E-09,0.025442,0.00096665,0,0,0,0.053822,1.0804E-05,9.8426E-12,-6.3193E-13,7.1817E-06,3.2723E-08,1.1924E-05,0,0,0,0,0,0,package://acps/meshes/link1.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://acps/meshes/link1.STL,,ACPS-Link2-1,Origin_theta1,Axis1,theta1,continuous,-0.032488,-0.006213,0.032748,1.5708,0,-0.021846,base_link,0,1,0,,,,,,,,,,,,
link2,0.038557,-4.5956E-09,6.8917E-05,0,0,0,0.055878,7.9123E-06,9.8435E-12,-3.2723E-08,1.3121E-05,6.0258E-13,1.2397E-05,0,0,0,0,0,0,package://acps/meshes/link2.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://acps/meshes/link2.STL,,ACPS-Link3-1,Origin_theta2,Axis2,theta2,continuous,0,0.0435,0,0,0,0,link1,0,0,-1,,,,,,,,,,,,
link3,0.038557,4.7415E-09,0.00093108,0,0,0,0.055878,7.9123E-06,-9.8423E-12,3.2723E-08,1.3121E-05,6.6805E-13,1.2397E-05,0,0,0,0,0,0,package://acps/meshes/link3.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://acps/meshes/link3.STL,,ACPS-Link4-1,Origin_theta3,Axis3,theta3,continuous,0.05855,0,0,0,0,0,link2,0,0,-1,,,,,,,,,,,,
link4,-8.1879E-16,-0.001,-0.013893,0,0,0,0.012873,4.4076E-06,-7.0066E-21,-2.1769E-20,2.4256E-06,-4.7282E-21,4.3471E-06,0,0,0,0,0,0,package://acps/meshes/link4.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://acps/meshes/link4.STL,,ACPS-S101-1,Origin_theta4,Axis4,theta4,continuous,0.05855,0,0,-1.5708,0,1.5708,link3,0,1,0,,,,,,,,,,,,
